UniProt_ID	gene name
Q99MZ3	Not Found
Q06187	BTK
P61157	Not Found
P68135	Not Found
Q14247	CTTN
P61158	ACTR3
Q99JY9	Not Found
Q99933	BAG1
Q06546	GABPA
Q12778	FOXO1
Q8K0K3	Not Found
Q62520	Not Found
P07239	Not Found
P40189	IL6ST
P08887	IL6R
Q2HRC7	Not Found
P05231	IL6
Q9BXW9	FANCD2
Q14185	DOCK1
Q02650	Not Found
Q61686	Not Found
P83916	CBX1
O43463	SUV39H1
P15260	IFNGR1
Q9Y463	DYRK1B
Q63470	Not Found
Q98823	Not Found
Q9NPB6	PARD6A
Q8TEW0	PARD3
Q64364	Not Found
Q8VCI5	Not Found
Q13393	PLD1
P28700	Not Found
Q15233	NONO
P04625	Not Found
Q12913	PTPRJ
P41738	Not Found
P41743	PRKCI
Q05513	PRKCZ
P03407	Not Found
Q15596	NCOA2
P29351	Not Found
Q78DX7	Not Found
P40460	Not Found
P33895	Not Found
Q04477	Not Found
P40014	Not Found
Q10198	Not Found
O94751	Not Found
P07199	CENPB
P48552	NRIP1
Q9UQ80	PA2G4
Q01814	ATP2B2
P23634	ATP2B4
Q63622	Not Found
P31016	Not Found
ddbj/embl/genbank:U50603	Not Found
Q9GL76	Not Found
P09989	Not Found
P05388	RPLP0
P05386	RPLP1
P12504	Not Found
Q80TH2	Not Found
Q9H3D4	TP63
Q9JJP2	Not Found
O14503	BHLHE40
O75460	ERN1
O08736	Not Found
P84022	SMAD3
Q13635	PTCH1
Q9BZX4	ROPN1B
O75969	AKAP3
P13861	PRKAR2A
O88987	Not Found
Q96RN1	SLC26A8
Q9H0H5	RACGAP1
P19634	SLC9A1
P00520	Not Found
"chebi:""CHEBI:28765"""	Not Found
Q9Y490	TLN1
P42081	CD86
P33681	CD80
O54874	Not Found
Q9Y6Q1	CAPN6
P15311	EZR
Q9BXI6	TBC1D10A
Q68EM7	ARHGAP17
Q09013	DMPK
P24588	AKAP5
P22413	ENPP1
O55156	Not Found
Q9JK25	Not Found
Q7Z460	CLASP1
O75122	CLASP2
Q9Z0H8	Not Found
Q922J3	Not Found
O00187	MASP2
P48740	MASP1
P11226	MBL2
Q9Z0W5	Not Found
P40692	MLH1
P54278	PMS2
Q16665	HIF1A
P40337	VHL
P02647	APOA1
P09917	ALOX5
P01127	PDGFB
P08174	CD55
P04324	Not Found
P49951	Not Found
Q9NZ52	GGA3
O00255	MEN1
Q05982	Not Found
Q9Y6N9	USH1C
Q92835	INPP5D
P07228	Not Found
O14654	IRS4
P26718	KLRK1
Q03112	MECOM
Q13418	ILK
Q9NVD7	PARVA
Q9EPC1	Not Found
Q9H0C8	ILKAP
O43516	WIPF1
Q9GZP0	PDGFD
P01112	HRAS
P62070	RRAS2
P18754	RCC1
